TEXT,LATITUDE,LONGITUDE,ALTITUDE,TYPE
1978,52.0809856,5.127683969,8401,year
1955,52.1067449,4.2736937,0,year
1956,52.1067449,4.2736937,365,year
1957,52.1067449,4.2736937,731,year
1958,52.1067449,4.2736937,1096,year
1959,52.1067449,4.2736937,1461,year
1960,52.1067449,4.2736937,1826,year
1961,52.1067449,4.2736937,2192,year
1962,52.1067449,4.2736937,2557,year
1963,52.1067449,4.2736937,2922,year
1964,52.1067449,4.2736937,3287,year
1965,52.1067449,4.2736937,3653,year
1966,52.1067449,4.2736937,4018,year
1967,52.1067449,4.2736937,4383,year
1968,52.1067449,4.2736937,4748,year
1969,52.1067449,4.2736937,5114,year
1970,52.1067449,4.2736937,5479,year
1971,52.1067449,4.2736937,5844,year
1972,52.1067449,4.2736937,6209,year
1973,52.1067449,4.2736937,6575,year
1974,52.1067449,4.2736937,6940,year
1975,52.1067449,4.2736937,7305,year
1976,52.1067449,4.2736937,7670,year
1977,52.1067449,4.2736937,8036,year
1978,52.1067449,4.2736937,8401,year
1979,52.1067449,4.2736937,8766,year
1955,41.8933203,12.4829321,0,year
1956,41.8933203,12.4829321,365,year
1957,41.8933203,12.4829321,731,year
1958,41.8933203,12.4829321,1096,year
1959,41.8933203,12.4829321,1461,year
1960,41.8933203,12.4829321,1826,year
1961,41.8933203,12.4829321,2192,year
1962,41.8933203,12.4829321,2557,year
1963,41.8933203,12.4829321,2922,year
1964,41.8933203,12.4829321,3287,year
1965,41.8933203,12.4829321,3653,year
1966,41.8933203,12.4829321,4018,year
1967,41.8933203,12.4829321,4383,year
1968,41.8933203,12.4829321,4748,year
1969,41.8933203,12.4829321,5114,year
1970,41.8933203,12.4829321,5479,year
1971,41.8933203,12.4829321,5844,year
1972,41.8933203,12.4829321,6209,year
1973,41.8933203,12.4829321,6575,year
1974,41.8933203,12.4829321,6940,year
1975,41.8933203,12.4829321,7305,year
1976,41.8933203,12.4829321,7670,year
1977,41.8933203,12.4829321,8036,year
1978,41.8933203,12.4829321,8401,year
1979,41.8933203,12.4829321,8766,year
1980,41.8933203,12.4829321,9131,year
1981,41.8933203,12.4829321,9497,year
1982,41.8933203,12.4829321,9862,year
1955,59.3251172,18.0710935,0,year
1956,59.3251172,18.0710935,365,year
1957,59.3251172,18.0710935,731,year
1958,59.3251172,18.0710935,1096,year
1959,59.3251172,18.0710935,1461,year
1960,59.3251172,18.0710935,1826,year
1961,59.3251172,18.0710935,2192,year
1962,59.3251172,18.0710935,2557,year
1963,59.3251172,18.0710935,2922,year
1964,59.3251172,18.0710935,3287,year
1965,59.3251172,18.0710935,3653,year
1966,59.3251172,18.0710935,4018,year
1967,59.3251172,18.0710935,4383,year
1968,59.3251172,18.0710935,4748,year
1969,59.3251172,18.0710935,5114,year
1970,59.3251172,18.0710935,5479,year
1971,59.3251172,18.0710935,5844,year
1972,59.3251172,18.0710935,6209,year
1973,59.3251172,18.0710935,6575,year
1974,59.3251172,18.0710935,6940,year
1975,59.3251172,18.0710935,7305,year
1976,59.3251172,18.0710935,7670,year
1977,59.3251172,18.0710935,8036,year
1978,59.3251172,18.0710935,8401,year
1979,59.3251172,18.0710935,8766,year
1980,59.3251172,18.0710935,9131,year
1981,59.3251172,18.0710935,9497,year
1982,59.3251172,18.0710935,9862,year
1955,40.3451095,-74.1840322,0,year
1956,40.3451095,-74.1840322,365,year
1957,40.3451095,-74.1840322,731,year
1958,40.3451095,-74.1840322,1096,year
1959,40.3451095,-74.1840322,1461,year
1960,40.3451095,-74.1840322,1826,year
1961,40.3451095,-74.1840322,2192,year
1962,40.3451095,-74.1840322,2557,year
1963,40.3451095,-74.1840322,2922,year
